a,h,g0,n,d_out,sensitivity_kHz_kPa,f0_MHz,linearity_R2
5.005276956703255588e-04,9.273859063147489292e-06,4.875681793755945658e-06,1.400000000000000000e+01,4.116578595358951452e-03,-7.687903803612381353e+02,1.793148587611507310e+02,9.753444992794532142e-01
4.606572648988155609e-04,9.347453029676130971e-06,4.181985988777066689e-06,1.500000000000000000e+01,3.679692213155088230e-03,-5.331717260756316819e+02,1.727647394725480012e+02,9.891473907828230994e-01
4.416920839094534267e-04,9.935012781374695452e-06,4.517274502152664112e-06,1.800000000000000000e+01,3.730030953455751482e-03,-2.720346398458299859e+02,1.555994734802366395e+02,9.970041584545549229e-01
4.304572795301139830e-04,8.719375574119883558e-06,4.850466722413809228e-06,1.300000000000000000e+01,4.570479968413467160e-03,-5.022300052377582347e+02,2.181286661986741535e+02,9.944859237813509223e-01
4.155735152607181260e-04,8.527667532102608793e-06,4.421789077751158808e-06,1.300000000000000000e+01,3.471702969111738462e-03,-5.425678362873621836e+02,2.299603272151393298e+02,9.941730439323103186e-01
5.421096983833319964e-04,1.167549436803343765e-05,4.119718441143519571e-06,1.700000000000000000e+01,4.310327883983179273e-03,-3.819195204130911065e+02,1.239201956809815073e+02,9.891819410367673759e-01
4.294430128702495181e-04,8.270917526047964221e-06,4.067547120456675543e-06,1.300000000000000000e+01,3.657725025641723679e-03,-7.777438496684314941e+02,2.111563459528579472e+02,9.833073271513388391e-01
4.526973709189678553e-04,1.074954522686036070e-05,4.289756771786564098e-06,1.600000000000000000e+01,4.394235515880272336e-03,-2.521630859499887833e+02,1.601082040589707276e+02,9.976118429179051672e-01
5.637956158084313392e-04,1.145202268027941913e-05,4.207025354448468351e-06,1.800000000000000000e+01,4.362266746656051283e-03,-4.779559212953121232e+02,1.133770992741326182e+02,9.764185465164703093e-01
4.312618175499357393e-04,8.837876058957347010e-06,3.952232241656507706e-06,1.600000000000000000e+01,4.908923270037940725e-03,-4.565632258709702569e+02,1.566198899833265159e+02,9.905155328933588077e-01
4.111919254187961057e-04,1.151810943469166764e-05,4.436517786782759810e-06,1.800000000000000000e+01,4.080270082027765213e-03,-1.257532211250485119e+02,1.622858598041273979e+02,9.994656437712053920e-01
5.488282331997508621e-04,1.137759845938485169e-05,4.738415578203101343e-06,1.500000000000000000e+01,4.294171582652285199e-03,-4.501904833281459446e+02,1.489161993507782995e+02,9.896658294322194793e-01
4.662751199396393737e-04,1.100194815736664812e-05,4.274857178029237697e-06,1.700000000000000000e+01,3.375929608094090876e-03,-2.598347645798567669e+02,1.549472984562199827e+02,9.972640935897907344e-01
